datetime,open_aapl,high_aapl,low_aapl,close_aapl,volume_aapl,Symbol_aapl,open_msft,high_msft,low_msft,close_msft,volume_msft,Symbol_msft,time
2024-11-14 15:45:00,227.8,228.38,227.61,228.19,2937629,AAPL,426.23499,427.73001,426.06,236.81870580240818,1645057,MSFT,15:45:00
2024-11-13 15:45:00,225.81,225.92,224.47,225.07001,4191960,AAPL,425.405,425.54541,423.70999,236.0473038350321,1886417,MSFT,15:45:00
2024-11-12 15:45:00,224.095,224.8,223.96001,224.24001,3555109,AAPL,423.36011,424.44,422.66,234.82083902693643,1808425,MSFT,15:45:00
2024-11-11 15:45:00,223.755,224.35001,223.46001,224.25,2934504,AAPL,418.10501,418.40091,417.10999,232.079329455899,1484139,MSFT,15:45:00
2024-11-08 15:45:00,226.955,227.3,226.72,227.16,5583109,AAPL,422.64001,422.92999,421.78,234.7098411869965,1169854,MSFT,15:45:00
2024-11-07 15:45:00,227.655,227.87,226.75,227.69,4342816,AAPL,426.17999,426.85001,424.63,236.14165283142324,1797227,MSFT,15:45:00
2024-11-06 15:45:00,223.58,223.69,222.5,222.7,3927225,AAPL,419.95001,420.42999,419.05499,233.20034603857104,1942407,MSFT,15:45:00
2024-11-05 15:45:00,222.83,223.53,222.71001,223.45,2324479,AAPL,411.42999,411.72,410.75,228.3555436650963,1339262,MSFT,15:45:00
2024-11-04 15:45:00,222.19341,222.36,221.52,222.12,2919445,AAPL,407.73001,408.82999,407.6301,226.79054682189363,1566257,MSFT,15:45:00
2024-11-01 15:45:00,222.57001,223.25,222.27,222.85001,4085601,AAPL,411.14999,411.5,409.84,227.5397503312046,1593460,MSFT,15:45:00
2024-10-31 15:45:00,227.06,227.78,225.39,225.39,5457376,AAPL,410.13,411.22,406.29999,225.49748108998816,4317402,MSFT,15:45:00
2024-10-30 15:45:00,230.57001,230.84,229.56,230.14,4946205,AAPL,434.47,434.92999,432.23001,240.64793426902003,2994478,MSFT,15:45:00
2024-10-29 15:45:00,234.245,234.32001,233.53999,233.75,2674499,AAPL,432.97,433.06,431.70999,239.72669825931922,1416519,MSFT,15:45:00
2024-10-28 15:45:00,233.67999,233.78,233.11,233.49001,3189842,AAPL,426.92001,427.13,426.34,236.8075954741466,1671705,MSFT,15:45:00
2024-10-25 15:45:00,231.49001,231.8,231.11,231.39999,2866639,AAPL,427.89001,428.39999,427.42001,237.70109451049515,1257064,MSFT,15:45:00
2024-10-24 15:45:00,230.46001,230.8,230.45,230.57001,2225426,AAPL,424.69501,425.23999,424.5488,235.68102372734376,795028,MSFT,15:45:00
2024-10-23 15:45:00,230.62,230.86,230.32001,230.75,2865006,AAPL,425.32001,425.57001,424.10999,235.64773158986068,1260737,MSFT,15:45:00
2024-10-22 15:45:00,235.845,236.19,235.78999,235.86,2576052,AAPL,429.465,429.85999,427.39999,237.22381656286686,1797044,MSFT,15:45:00
2024-10-21 15:45:00,236.03,236.58,235.88,236.58,2258606,AAPL,417.23001,418.95999,417.0,232.43449923532577,1215202,MSFT,15:45:00
2024-10-18 15:45:00,235.02,235.19,234.8,234.98,2317672,AAPL,417.76999,418.22,417.20001,232.06823577648098,999220,MSFT,15:45:00
2024-10-17 15:45:00,232.1469,232.33,231.64,232.25999,2257252,AAPL,416.79971,417.10989,416.38,231.2635361220073,1075325,MSFT,15:45:00
2024-10-16 15:45:00,231.502,231.85001,231.22,231.75,1837555,AAPL,415.48001,416.35999,415.26001,230.93610886554737,1113937,MSFT,15:45:00
2024-10-15 15:45:00,233.55,234.0699,233.46201,233.8,4222072,AAPL,417.285,418.905,417.23001,232.40675671235894,1836433,MSFT,15:45:00
2024-10-14 15:45:00,231.58,231.7278,231.03999,231.3,3451950,AAPL,420.38501,421.31,419.0,232.5843499264941,2181347,MSFT,15:45:00
2024-10-11 15:45:00,228.49001,228.69,227.5,227.52,3103920,AAPL,415.82001,416.51001,415.78,231.0804043925849,1151056,MSFT,15:45:00
2024-10-10 15:45:00,229.07001,229.5,228.9106,229.03,2367227,AAPL,415.70999,416.26001,415.56,230.77572500602716,1450122,MSFT,15:45:00
